,Unnamed: 0,Total,Q1aM4,Q1bM6,Q2aM6,Q2bM4,Q3aM5,Q3bM5,Q4aM3,Q4bM7,Q5M10,Q6aM4,Q6bM6,Grade
59,59,38,2.0,6.0,6.0,4.0,5.0,5.0,0.0,0.0,10.0,4.0,6.0,F
60,60,20,2.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,F
61,61,24,4.0,5.0,6.0,4.0,0.0,5.0,0.0,0.0,0.0,4.0,6.0,F
62,62,36,3.0,4.0,6.0,4.0,5.0,5.0,0.0,0.0,7.0,0.0,0.0,F
63,63,18,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,F
64,64,36,1.0,6.0,6.0,4.0,5.0,5.0,0.0,0.0,9.0,0.0,0.0,F
65,65,40,4.0,6.0,6.0,4.0,5.0,5.0,0.0,0.0,10.0,0.0,0.0,F
66,66,31,4.0,5.0,5.0,2.0,5.0,3.0,1.0,5.0,7.0,0.0,0.0,F
67,67,28,4.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,F
68,68,20,4.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
69,69,3,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,F
70,70,35,4.0,6.0,6.0,4.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,F
71,71,36,4.0,5.0,6.0,4.0,5.0,5.0,0.0,0.0,7.0,0.0,0.0,F
72,72,25,2.0,0.0,4.0,4.0,0.0,5.0,3.0,7.0,0.0,0.0,0.0,F
73,73,40,4.0,6.0,0.0,0.0,5.0,5.0,3.0,0.0,10.0,4.0,6.0,F
74,74,25,1.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,F
75,75,21,4.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,F
76,76,17,2.0,3.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,F
77,77,22,4.0,5.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,4.0,2.0,F
78,78,33,2.0,3.0,6.0,4.0,5.0,5.0,0.0,0.0,8.0,0.0,0.0,F
79,79,27,2.0,6.0,0.0,3.0,2.0,5.0,0.0,0.0,9.0,0.0,0.0,F
80,80,31,4.0,6.0,6.0,2.0,2.0,5.0,0.0,0.0,6.0,0.0,0.0,F
81,81,32,3.0,6.0,3.0,4.0,5.0,3.0,0.0,0.0,0.0,4.0,6.0,F
82,82,27,2.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,7.0,3.0,5.0,F
83,83,37,4.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,9.0,4.0,6.0,F
84,84,28,4.0,0.0,5.0,4.0,5.0,4.0,0.0,0.0,6.0,0.0,0.0,F
85,85,29,4.0,6.0,0.0,0.0,0.0,0.0,3.0,5.0,7.0,1.0,4.0,F
